dataset,model,topic_idx,human_idx,c_npmi_10_full,c_npmi_10_nytimes_full,c_npmi_10_test,c_npmi_10_train,c_npmi_10_val,c_uci_full,c_v_full,c_v_nytimes_full,c_v_test,c_v_train,c_v_val,u_mass_full,scores_raw,confidences_raw,c_npmi_10_wikitext_full,c_v_wikitext_full,task
wikitext,mallet,4,3,0.2343654945,0.1253139496,0.2351592514,0.2312815608,0.2239090597,1.8956463035,0.8643755663,0.6885975063,0.8659581036,0.8526951656,0.8693072677,-1.3294625375,2,1,,,ratings
wikitext,mallet,4,4,0.2343654945,0.1253139496,0.2351592514,0.2312815608,0.2239090597,1.8956463035,0.8643755663,0.6885975063,0.8659581036,0.8526951656,0.8693072677,-1.3294625375,3,1,,,ratings
wikitext,mallet,4,5,0.2343654945,0.1253139496,0.2351592514,0.2312815608,0.2239090597,1.8956463035,0.8643755663,0.6885975063,0.8659581036,0.8526951656,0.8693072677,-1.3294625375,3,1,,,ratings
wikitext,mallet,4,6,0.2343654945,0.1253139496,0.2351592514,0.2312815608,0.2239090597,1.8956463035,0.8643755663,0.6885975063,0.8659581036,0.8526951656,0.8693072677,-1.3294625375,3,1,,,ratings
wikitext,mallet,4,7,0.2343654945,0.1253139496,0.2351592514,0.2312815608,0.2239090597,1.8956463035,0.8643755663,0.6885975063,0.8659581036,0.8526951656,0.8693072677,-1.3294625375,3,1,,,ratings
wikitext,mallet,4,8,0.2343654945,0.1253139496,0.2351592514,0.2312815608,0.2239090597,1.8956463035,0.8643755663,0.6885975063,0.8659581036,0.8526951656,0.8693072677,-1.3294625375,3,1,,,ratings
wikitext,mallet,4,9,0.2343654945,0.1253139496,0.2351592514,0.2312815608,0.2239090597,1.8956463035,0.8643755663,0.6885975063,0.8659581036,0.8526951656,0.8693072677,-1.3294625375,3,1,,,ratings
wikitext,mallet,4,10,0.2343654945,0.1253139496,0.2351592514,0.2312815608,0.2239090597,1.8956463035,0.8643755663,0.6885975063,0.8659581036,0.8526951656,0.8693072677,-1.3294625375,3,1,,,ratings
wikitext,mallet,4,11,0.2343654945,0.1253139496,0.2351592514,0.2312815608,0.2239090597,1.8956463035,0.8643755663,0.6885975063,0.8659581036,0.8526951656,0.8693072677,-1.3294625375,3,1,,,ratings
wikitext,mallet,4,12,0.2343654945,0.1253139496,0.2351592514,0.2312815608,0.2239090597,1.8956463035,0.8643755663,0.6885975063,0.8659581036,0.8526951656,0.8693072677,-1.3294625375,3,1,,,ratings
wikitext,mallet,4,13,0.2343654945,0.1253139496,0.2351592514,0.2312815608,0.2239090597,1.8956463035,0.8643755663,0.6885975063,0.8659581036,0.8526951656,0.8693072677,-1.3294625375,3,1,,,ratings
wikitext,mallet,4,14,0.2343654945,0.1253139496,0.2351592514,0.2312815608,0.2239090597,1.8956463035,0.8643755663,0.6885975063,0.8659581036,0.8526951656,0.8693072677,-1.3294625375,3,1,,,ratings
wikitext,mallet,5,0,0.1340198492,0.1170418597,0.1265090375,0.0920488687,-0.137664739,1.3652357656,0.61914344,0.5873349977,0.6165890965,0.569281393,0.3129724718,-3.2744064342,2,1,,,ratings
wikitext,mallet,5,1,0.1340198492,0.1170418597,0.1265090375,0.0920488687,-0.137664739,1.3652357656,0.61914344,0.5873349977,0.6165890965,0.569281393,0.3129724718,-3.2744064342,2,1,,,ratings
wikitext,mallet,5,2,0.1340198492,0.1170418597,0.1265090375,0.0920488687,-0.137664739,1.3652357656,0.61914344,0.5873349977,0.6165890965,0.569281393,0.3129724718,-3.2744064342,3,1,,,ratings
wikitext,mallet,5,3,0.1340198492,0.1170418597,0.1265090375,0.0920488687,-0.137664739,1.3652357656,0.61914344,0.5873349977,0.6165890965,0.569281393,0.3129724718,-3.2744064342,2,1,,,ratings
wikitext,mallet,5,4,0.1340198492,0.1170418597,0.1265090375,0.0920488687,-0.137664739,1.3652357656,0.61914344,0.5873349977,0.6165890965,0.569281393,0.3129724718,-3.2744064342,2,1,,,ratings
wikitext,mallet,5,5,0.1340198492,0.1170418597,0.1265090375,0.0920488687,-0.137664739,1.3652357656,0.61914344,0.5873349977,0.6165890965,0.569281393,0.3129724718,-3.2744064342,2,1,,,ratings
wikitext,mallet,5,6,0.1340198492,0.1170418597,0.1265090375,0.0920488687,-0.137664739,1.3652357656,0.61914344,0.5873349977,0.6165890965,0.569281393,0.3129724718,-3.2744064342,2,1,,,ratings
wikitext,mallet,5,7,0.1340198492,0.1170418597,0.1265090375,0.0920488687,-0.137664739,1.3652357656,0.61914344,0.5873349977,0.6165890965,0.569281393,0.3129724718,-3.2744064342,2,1,,,ratings
wikitext,mallet,5,8,0.1340198492,0.1170418597,0.1265090375,0.0920488687,-0.137664739,1.3652357656,0.61914344,0.5873349977,0.6165890965,0.569281393,0.3129724718,-3.2744064342,2,1,,,ratings
wikitext,mallet,5,9,0.1340198492,0.1170418597,0.1265090375,0.0920488687,-0.137664739,1.3652357656,0.61914344,0.5873349977,0.6165890965,0.569281393,0.3129724718,-3.2744064342,1,1,,,ratings
wikitext,mallet,5,10,0.1340198492,0.1170418597,0.1265090375,0.0920488687,-0.137664739,1.3652357656,0.61914344,0.5873349977,0.6165890965,0.569281393,0.3129724718,-3.2744064342,1,1,,,ratings
wikitext,mallet,5,11,0.1340198492,0.1170418597,0.1265090375,0.0920488687,-0.137664739,1.3652357656,0.61914344,0.5873349977,0.6165890965,0.569281393,0.3129724718,-3.2744064342,2,1,,,ratings
wikitext,mallet,5,12,0.1340198492,0.1170418597,0.1265090375,0.0920488687,-0.137664739,1.3652357656,0.61914344,0.5873349977,0.6165890965,0.569281393,0.3129724718,-3.2744064342,1,1,,,ratings
wikitext,mallet,5,13,0.1340198492,0.1170418597,0.1265090375,0.0920488687,-0.137664739,1.3652357656,0.61914344,0.5873349977,0.6165890965,0.569281393,0.3129724718,-3.2744064342,2,1,,,ratings
wikitext,mallet,5,14,0.1340198492,0.1170418597,0.1265090375,0.0920488687,-0.137664739,1.3652357656,0.61914344,0.5873349977,0.6165890965,0.569281393,0.3129724718,-3.2744064342,2,1,,,ratings
wikitext,mallet,6,0,0.0793999557,0.0681112466,0.0788938343,0.1124515054,0.0668563729,0.6505967069,0.6088963674,0.563306277,0.607765372,0.6538442581,0.5970573772,-1.3690309782,3,1,,,ratings
wikitext,mallet,6,1,0.0793999557,0.0681112466,0.0788938343,0.1124515054,0.0668563729,0.6505967069,0.6088963674,0.563306277,0.607765372,0.6538442581,0.5970573772,-1.3690309782,2,1,,,ratings
wikitext,mallet,6,2,0.0793999557,0.0681112466,0.0788938343,0.1124515054,0.0668563729,0.6505967069,0.6088963674,0.563306277,0.607765372,0.6538442581,0.5970573772,-1.3690309782,3,1,,,ratings
wikitext,mallet,6,3,0.0793999557,0.0681112466,0.0788938343,0.1124515054,0.0668563729,0.6505967069,0.6088963674,0.563306277,0.607765372,0.6538442581,0.5970573772,-1.3690309782,3,1,,,ratings
wikitext,mallet,6,4,0.0793999557,0.0681112466,0.0788938343,0.1124515054,0.0668563729,0.6505967069,0.6088963674,0.563306277,0.607765372,0.6538442581,0.5970573772,-1.3690309782,3,1,,,ratings
wikitext,mallet,6,5,0.0793999557,0.0681112466,0.0788938343,0.1124515054,0.0668563729,0.6505967069,0.6088963674,0.563306277,0.607765372,0.6538442581,0.5970573772,-1.3690309782,2,1,,,ratings
wikitext,mallet,6,6,0.0793999557,0.0681112466,0.0788938343,0.1124515054,0.0668563729,0.6505967069,0.6088963674,0.563306277,0.607765372,0.6538442581,0.5970573772,-1.3690309782,3,1,,,ratings
wikitext,mallet,6,7,0.0793999557,0.0681112466,0.0788938343,0.1124515054,0.0668563729,0.6505967069,0.6088963674,0.563306277,0.607765372,0.6538442581,0.5970573772,-1.3690309782,3,1,,,ratings
wikitext,mallet,6,8,0.0793999557,0.0681112466,0.0788938343,0.1124515054,0.0668563729,0.6505967069,0.6088963674,0.563306277,0.607765372,0.6538442581,0.5970573772,-1.3690309782,2,1,,,ratings
wikitext,mallet,6,9,0.0793999557,0.0681112466,0.0788938343,0.1124515054,0.0668563729,0.6505967069,0.6088963674,0.563306277,0.607765372,0.6538442581,0.5970573772,-1.3690309782,3,1,,,ratings
wikitext,mallet,6,10,0.0793999557,0.0681112466,0.0788938343,0.1124515054,0.0668563729,0.6505967069,0.6088963674,0.563306277,0.607765372,0.6538442581,0.5970573772,-1.3690309782,3,1,,,ratings
wikitext,mallet,6,11,0.0793999557,0.0681112466,0.0788938343,0.1124515054,0.0668563729,0.6505967069,0.6088963674,0.563306277,0.607765372,0.6538442581,0.5970573772,-1.3690309782,3,1,,,ratings
wikitext,mallet,6,12,0.0793999557,0.0681112466,0.0788938343,0.1124515054,0.0668563729,0.6505967069,0.6088963674,0.563306277,0.607765372,0.6538442581,0.5970573772,-1.3690309782,2,1,,,ratings
wikitext,mallet,6,13,0.0793999557,0.0681112466,0.0788938343,0.1124515054,0.0668563729,0.6505967069,0.6088963674,0.563306277,0.607765372,0.6538442581,0.5970573772,-1.3690309782,3,1,,,ratings
wikitext,mallet,6,14,0.0793999557,0.0681112466,0.0788938343,0.1124515054,0.0668563729,0.6505967069,0.6088963674,0.563306277,0.607765372,0.6538442581,0.5970573772,-1.3690309782,2,1,,,ratings
wikitext,mallet,7,0,0.1338351628,0.0811686251,0.131700983,0.138889654,0.0653306142,1.2215092833,0.6832626363,0.5476203854,0.6743833535,0.7233632424,0.5826458494,-1.6164467662,2,1,,,ratings
wikitext,mallet,7,1,0.1338351628,0.0811686251,0.131700983,0.138889654,0.0653306142,1.2215092833,0.6832626363,0.5476203854,0.6743833535,0.7233632424,0.5826458494,-1.6164467662,3,1,,,ratings
wikitext,mallet,7,2,0.1338351628,0.0811686251,0.131700983,0.138889654,0.0653306142,1.2215092833,0.6832626363,0.5476203854,0.6743833535,0.7233632424,0.5826458494,-1.6164467662,3,1,,,ratings
wikitext,mallet,7,3,0.1338351628,0.0811686251,0.131700983,0.138889654,0.0653306142,1.2215092833,0.6832626363,0.5476203854,0.6743833535,0.7233632424,0.5826458494,-1.6164467662,2,1,,,ratings
wikitext,mallet,7,4,0.1338351628,0.0811686251,0.131700983,0.138889654,0.0653306142,1.2215092833,0.6832626363,0.5476203854,0.6743833535,0.7233632424,0.5826458494,-1.6164467662,3,1,,,ratings
wikitext,mallet,7,5,0.1338351628,0.0811686251,0.131700983,0.138889654,0.0653306142,1.2215092833,0.6832626363,0.5476203854,0.6743833535,0.7233632424,0.5826458494,-1.6164467662,3,1,,,ratings
